Date of Final Decision,Submission Number,Device,Company,Panel (lead),Primary Product Code,city,state,date_received,decision_date,decision_code,expedited_review_flag,device_class
9/27/2024,K240369,CAC (gated) Algorithm,BunkerHill Health,Radiology,JAK,San Francisco,CA,2024-02-07,2024-09-27,SESE,,2
9/27/2024,K241480,JBS-LVO,"JLK, Inc.",Radiology,QAS,Seoul,,2024-05-24,2024-09-27,SESE,,2
9/27/2024,K240993,encevis (2.1),AIT Austrian Institute of Technology GmbH,Neurology,OMB,Vienna,,2024-04-11,2024-09-27,SESE,,2
9/24/2024,K242292,uAI Easy Triage ICH,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QAS,Shanghai,,2024-08-02,2024-09-24,SESE,,2
9/23/2024,K240013,EchoGo Heart Failure (2.0),Ultromics Limited,Cardiovascular,QUO,Oxford,,2024-01-02,2024-09-23,SESE,,2
9/20/2024,K240036,PIUR tUS Infinity,PIUR Imaging GmbH,Radiology,QIH,Vienna,,2024-01-05,2024-09-20,SESE,,2
9/13/2024,K240929,Sleep Apnea Notification Feature (SANF),Apple Inc.,Anesthesiology,QZW,Cupertino,CA,2024-04-04,2024-09-13,SESE,,2
9/12/2024,K241582,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700)",Canon Medical Systems Corporation,Radiology,IYN,Otawara-shi,,2024-06-03,2024-09-12,SESE,,2
9/12/2024,K241280,Constellation (CON-001),"Q Bio, Inc.",Radiology,QIH,San Carlos,CA,2024-05-07,2024-09-12,SESE,,2
9/12/2024,K240942,CINA-CSpine,Avicenna.AI,Radiology,QAS,La Ciotat,,2024-04-05,2024-09-12,SESE,,2
9/11/2024,K241380,FETOLY-HEART,Diagnoly,Radiology,IYN,Lyon,,2024-05-15,2024-09-11,SESE,,2
9/10/2024,K240094,LumiNE US; Lumi,Augmedit B.V.,Radiology,QIH,Naarden,,2024-01-12,2024-09-10,SESE,,2
9/9/2024,K240697,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",See-Mode Technologies Pte. Ltd.,Radiology,QDQ,Singapore,,2024-03-14,2024-09-09,SESE,,2
9/9/2024,K241681,Overjet Image Enhancement Assist,Overjet Inc,Radiology,QIH,Boston,MA,2024-06-11,2024-09-09,SESE,,2
9/9/2024,K240791,ADAS 3D,Adas3D Medical S.L,Radiology,QIH,Barcelona,,2024-03-22,2024-09-09,SESE,,2
9/6/2024,K240411,uAI Portal,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QIH,Shanghai,,2024-02-12,2024-09-06,SESE,,2
9/5/2024,K233998,TRAQinform IQ,"AIQ Global, Inc.",Radiology,LLZ,Madison,WI,2023-12-18,2024-09-05,SESE,,2
9/4/2024,K233977,Velacur,Sonic Incytes,Radiology,IYO,Vancouver,,2023-12-18,2024-09-04,SESE,,2
8/30/2024,K242275,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,Hoffman Estates,IL,2024-08-01,2024-08-30,SESE,,2
8/30/2024,K242300,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,Hoffman Estates,IL,2024-08-02,2024-08-30,SESE,,2
8/30/2024,K241847,Imbio PHA (4.0.0),"Imbio, Inc",Radiology,QIH,Minneapolis,MN,2024-06-26,2024-08-30,SESE,,2
8/30/2024,K241585,uMI Panorama,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS,Shanghai,,2024-06-03,2024-08-30,SESE,,2
8/30/2024,K240003,Velmeni for Dentists (V4D),Velmeni Inc.,Radiology,MYN,Sunnyvale,CA,2024-01-02,2024-08-30,SESE,,2
8/29/2024,K233826,Kosmos,"EchoNous, Inc.",Radiology,IYN,Redmond,WA,2023-12-01,2024-08-29,SESE,,2
8/27/2024,K241684,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH,Boston,MA,2024-06-11,2024-08-27,SESE,,2
8/22/2024,K241098,NeuroQuant,"CorTechs Labs, Inc.",Radiology,QIH,San Diego,CA,2024-04-22,2024-08-22,SESE,,2
8/21/2024,K240290,AiMIFY (1.x),"Subtle Medical, Inc.",Radiology,LLZ,Menlo Park,CA,2024-02-01,2024-08-21,SESE,,2
8/20/2024,K240200,HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece,Procept BioRobotics,General and Plastic Surgery,PZP,San Jose,CA,2024-01-25,2024-08-20,SESE,,2
8/20/2024,K241496,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,Otawara-shi,,2024-05-28,2024-08-20,SESE,,2
8/19/2024,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK,Petah Tikva,,2024-05-21,2024-08-19,SESE,,2
8/16/2024,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK,Belfast,,2023-11-22,2024-08-16,SESE,,2
8/16/2024,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH,Mumbai,,2024-03-18,2024-08-16,SESE,,2
8/15/2024,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH,Varna,,2024-04-30,2024-08-15,SESE,,2
